id,object,relatesTo
rc:TechnologyEvangelism,rc:Technology,kko:relatesToConcepts
rc:TechnologyInTheMiddleAges,rc:Technology,kko:relatesToConcepts
rc:Technology_Artifact,rc:Technology,kko:relatesToConcepts
rc:TelephoneSystem,rc:TransactionalNetwork,kko:relatesToConcepts
rc:TerrestrialAnimal,rc:TerrestrialOrganism,kko:relatesToLivingThings
rc:TerrestrialPlant,rc:TerrestrialOrganism,kko:relatesToLivingThings
rc:TextileArtifact,rc:Fibrous,kko:relatesToForms
rc:TimeInterval,rc:TemporallyExtendedThing,kko:relatesToConcepts
rc:TimeInterval,rc:TimeAttributes,kko:relatesToIntrinsicAttributes
rc:TimeParameter,rc:TimeAttributes,kko:relatesToIntrinsicAttributes
rc:Time_Quantity,rc:TimeAttributes,kko:relatesToIntrinsicAttributes
rc:Timekeeping,rc:UnitOfMeasureConcept,kko:relatesToConcepts
