kbpedia_id,s,p,o,
http://kbpedia.org/kko/rc/LampLightbulb,LampLightbulb,owl:equivalentClass,http://www.wikidata.org/entity/Q1318740,Q1318740
http://kbpedia.org/kko/rc/Lamppost,Lamppost,owl:equivalentClass,http://www.wikidata.org/entity/Q503958,Q503958
http://kbpedia.org/kko/rc/Lamprey,Lamprey,owl:equivalentClass,http://www.wikidata.org/entity/Q261485,Q261485
http://kbpedia.org/kko/rc/LampShade,LampShade,owl:equivalentClass,http://www.wikidata.org/entity/Q947686,Q947686
http://kbpedia.org/kko/rc/LampungProvince,LampungProvince,owl:equivalentClass,http://www.wikidata.org/entity/Q2110,Q2110
http://kbpedia.org/kko/rc/Lamtidine,Lamtidine,owl:equivalentClass,http://www.wikidata.org/entity/Q27107173,Q27107173
http://kbpedia.org/kko/rc/LancashireHeeler,LancashireHeeler,owl:equivalentClass,http://www.wikidata.org/entity/Q37972,Q37972
http://kbpedia.org/kko/rc/LanciaBetaCar,LanciaBetaCar,owl:equivalentClass,http://www.wikidata.org/entity/Q777710,Q777710
http://kbpedia.org/kko/rc/LanciaCar,LanciaCar,owl:equivalentClass,http://www.wikidata.org/entity/Q35896,Q35896
http://kbpedia.org/kko/rc/LanciaVehicle,LanciaVehicle,owl:equivalentClass,http://www.wikidata.org/entity/Q8581294,Q8581294
http://kbpedia.org/kko/rc/LanciaZagatoCar,LanciaZagatoCar,owl:equivalentClass,http://www.wikidata.org/entity/Q140266,Q140266
http://kbpedia.org/kko/rc/LandArt,LandArt,owl:equivalentClass,http://www.wikidata.org/entity/Q326478,Q326478
http://kbpedia.org/kko/rc/LandBody,LandBody,owl:equivalentClass,http://www.wikidata.org/entity/Q205895,Q205895
http://kbpedia.org/kko/rc/LandesDepartment,LandesDepartment,owl:equivalentClass,http://www.wikidata.org/entity/Q12563,Q12563
http://kbpedia.org/kko/rc/Landfill,Landfill,owl:equivalentClass,http://www.wikidata.org/entity/Q152810,Q152810
http://kbpedia.org/kko/rc/LandfillService,LandfillService,owl:equivalentClass,http://www.wikidata.org/entity/Q152810,Q152810
http://kbpedia.org/kko/rc/Landform,Landform,owl:equivalentClass,http://www.wikidata.org/entity/Q271669,Q271669
http://kbpedia.org/kko/rc/LandGrant,LandGrant,owl:equivalentClass,http://www.wikidata.org/entity/Q3217027,Q3217027
http://kbpedia.org/kko/rc/Landing,Landing,owl:equivalentClass,http://www.wikidata.org/entity/Q844947,Q844947
http://kbpedia.org/kko/rc/LandingCraft,LandingCraft,owl:equivalentClass,http://www.wikidata.org/entity/Q841751,Q841751
http://kbpedia.org/kko/rc/LandingCraftPersonnel,LandingCraftPersonnel,owl:equivalentClass,http://www.wikidata.org/entity/Q3217060,Q3217060
http://kbpedia.org/kko/rc/LandingCraftUtility,LandingCraftUtility,owl:equivalentClass,http://www.wikidata.org/entity/Q1151538,Q1151538
http://kbpedia.org/kko/rc/LandingGearAssembly,LandingGearAssembly,owl:equivalentClass,http://www.wikidata.org/entity/Q263421,Q263421
http://kbpedia.org/kko/rc/LandingShip,LandingShip,owl:equivalentClass,http://www.wikidata.org/entity/Q106070850,Q106070850
http://kbpedia.org/kko/rc/LandingZone,LandingZone,owl:equivalentClass,http://www.wikidata.org/entity/Q1802778,Q1802778
http://kbpedia.org/kko/rc/LandkreuzerP1000Ratte,LandkreuzerP1000Ratte,owl:equivalentClass,http://www.wikidata.org/entity/Q722285,Q722285
http://kbpedia.org/kko/rc/LandlineTelephone,LandlineTelephone,owl:equivalentClass,http://www.wikidata.org/entity/Q738621,Q738621
http://kbpedia.org/kko/rc/LandlockedCountry,LandlockedCountry,owl:equivalentClass,http://www.wikidata.org/entity/Q123480,Q123480
http://kbpedia.org/kko/rc/Landlord,Landlord,owl:equivalentClass,http://www.wikidata.org/entity/Q618532,Q618532
http://kbpedia.org/kko/rc/Landmark,Landmark,owl:equivalentClass,http://www.wikidata.org/entity/Q2319498,Q2319498
http://kbpedia.org/kko/rc/LandMass,LandMass,owl:equivalentClass,http://www.wikidata.org/entity/Q15063765,Q15063765
http://kbpedia.org/kko/rc/LandMine,LandMine,owl:equivalentClass,http://www.wikidata.org/entity/Q178795,Q178795
http://kbpedia.org/kko/rc/LandParcel,LandParcel,owl:equivalentClass,http://www.wikidata.org/entity/Q683595,Q683595
http://kbpedia.org/kko/rc/LandPreparationService,LandPreparationService,owl:equivalentClass,http://www.wikidata.org/entity/Q6484056,Q6484056
http://kbpedia.org/kko/rc/LandReclamation,LandReclamation,owl:equivalentClass,http://www.wikidata.org/entity/Q1130322,Q1130322
http://kbpedia.org/kko/rc/LandRoverCar,LandRoverCar,owl:equivalentClass,http://www.wikidata.org/entity/Q35907,Q35907
http://kbpedia.org/kko/rc/LandRoverDefenderCar,LandRoverDefenderCar,owl:equivalentClass,http://www.wikidata.org/entity/Q908027,Q908027
http://kbpedia.org/kko/rc/LandRoverDiscoveryCar,LandRoverDiscoveryCar,owl:equivalentClass,http://www.wikidata.org/entity/Q1140003,Q1140003
http://kbpedia.org/kko/rc/LandRoverVehicle,LandRoverVehicle,owl:equivalentClass,http://www.wikidata.org/entity/Q7145470,Q7145470
http://kbpedia.org/kko/rc/Landscape,Landscape,owl:equivalentClass,http://www.wikidata.org/entity/Q107425,Q107425
http://kbpedia.org/kko/rc/LandscapeArchitecture,LandscapeArchitecture,owl:equivalentClass,http://www.wikidata.org/entity/Q47844,Q47844
http://kbpedia.org/kko/rc/LandscapeArt,LandscapeArt,owl:equivalentClass,http://www.wikidata.org/entity/Q191163,Q191163
http://kbpedia.org/kko/rc/LandscapeEcology,LandscapeEcology,owl:equivalentClass,http://www.wikidata.org/entity/Q738011,Q738011
http://kbpedia.org/kko/rc/LandscapeLighting,LandscapeLighting,owl:equivalentClass,http://www.wikidata.org/entity/Q6485102,Q6485102
http://kbpedia.org/kko/rc/LandscapePaintingInScotland,LandscapePaintingInScotland,owl:equivalentClass,http://www.wikidata.org/entity/Q17103708,Q17103708
http://kbpedia.org/kko/rc/Landscaper,Landscaper,owl:equivalentClass,http://www.wikidata.org/entity/Q43184282,Q43184282
