id,type,subPropertyOf,domain,range
rc:flight_distance,owl:DatatypeProperty,kko:quantitiesData,rc:CommercialPassengerFlight,
rc:floor_size,owl:DatatypeProperty,kko:quantitiesData,rc:Lodging,xsd:decimal
rc:floors_above_ground,owl:DatatypeProperty,kko:formsData,rc:Building,xsd:decimal
rc:floors_below_ground,owl:DatatypeProperty,kko:formsData,rc:Building,xsd:decimal
rc:floruit,owl:DatatypeProperty,kko:eventualsData,kko:Persons,xsd:string
rc:focal_height,owl:DatatypeProperty,kko:qualitiesData,rc:Lighthouse,xsd:decimal
rc:focal_length,owl:DatatypeProperty,kko:qualitiesData,rc:StillCamera,xsd:decimal
rc:formatter_url,owl:DatatypeProperty,kko:equivalencesData,rc:TextualPCW,xsd:string
rc:founding_date,owl:DatatypeProperty,kko:eventualsData,kko:Organizations,
rc:free,owl:DatatypeProperty,kko:qualitiesData,owl:Thing,xsd:boolean
